Time (sec),X,Y,R,Theta,Delta_Time,Delta_X,Delta_Y,Speed_X,Speed_Y,Speed,Acceleration_X,Acceleration_Y,Acceleration,Delta_Theta,Angular_Velocity,Delta_Omega,Angular_Acceleration
0.000000,0.337675,0.950662,1.008853,1.229497,0.000000,0.000000,0.000000,0.005951,-0.010415,0.013034,0.000000,0.000000,0.000000,0.000000,,0.000000,
0.004159,0.337761,0.950411,1.008644,1.229333,0.004159,0.000000,0.000000,0.012471,-0.032998,0.034380,0.000000,0.000000,0.000000,-0.000164,,0.000000,
0.008317,0.337836,0.950197,1.008468,1.229192,0.004159,0.000000,0.000000,0.017576,-0.050425,0.051401,0.000000,0.000000,0.000000,-0.000141,,0.000000,
0.012476,0.337899,0.950021,1.008323,1.229075,0.004159,0.000224,-0.000641,0.021267,-0.062696,0.064095,3.682865,-12.571758,13.100099,-0.000117,,0.000000,
0.016634,0.337951,0.949883,1.008211,1.228980,0.004159,0.000190,-0.000527,0.023543,-0.069811,0.072464,2.662588,-8.852376,9.244130,-0.000094,,0.000000,
0.020793,0.337991,0.949783,1.008130,1.228909,0.004159,0.000155,-0.000414,0.024406,-0.071771,0.076507,1.642312,-5.132995,5.389325,-0.000071,,0.000000,
0.024951,0.338020,0.949721,1.008082,1.228862,0.004159,0.000121,-0.000300,0.023854,-0.068574,0.076225,0.622036,-1.413613,1.544419,-0.000048,,0.000000,
0.029110,0.337991,0.949793,1.008139,1.228913,0.004159,0.000040,-0.000090,0.018211,-0.051157,0.064630,-1.282362,4.485606,4.665310,0.000051,-0.003593,0.000000,0.234730
0.033268,0.338024,0.949747,1.008107,1.228866,0.004159,0.000033,-0.000037,0.011434,-0.027834,0.046021,-3.119325,10.565287,11.016147,-0.000047,-0.000881,0.002712,0.171623
0.037427,0.337974,0.949776,1.008118,1.228923,0.004159,-0.000046,0.000055,0.003778,0.000027,0.018673,-4.827507,16.496537,17.188384,0.000057,0.000948,0.001830,0.173260
0.041586,0.337978,0.949844,1.008183,1.228942,0.004159,-0.000013,0.000051,0.003177,0.010987,0.012873,-3.615152,14.943847,15.374911,0.000018,0.000615,-0.000333,0.120240
0.045744,0.337991,0.949856,1.008199,1.228934,0.004159,-0.000034,0.000110,0.002361,0.019554,0.012276,-2.181751,11.395399,11.602377,-0.000008,0.002732,0.002116,0.063374
0.049903,0.338058,0.949814,1.008182,1.228857,0.004159,0.000084,0.000038,0.003882,0.023394,0.012569,0.025075,5.618945,5.619001,-0.000077,0.000804,-0.001927,0.037793
0.054061,0.338041,0.949856,1.008216,1.228887,0.004159,0.000063,0.000013,0.004452,0.019451,0.017619,0.306740,2.035197,2.058183,0.000030,-0.001228,-0.002033,0.156923
0.058220,0.338041,0.949882,1.008240,1.228895,0.004159,0.000051,0.000025,0.004299,0.012351,0.021257,0.465953,-1.732108,1.793687,0.000008,0.000514,0.001743,0.048072
0.062378,0.338058,0.949936,1.008297,1.228898,0.004159,0.000000,0.000122,0.002154,0.004117,0.023706,-0.415560,-4.635429,4.654019,0.000002,0.000070,-0.000444,0.096208
0.066537,0.337991,0.949928,1.008266,1.228958,0.004159,-0.000051,0.000072,-0.002820,-0.001991,0.025046,-1.748906,-5.156157,5.444688,0.000060,0.001389,0.001319,0.139292
0.070695,0.338024,0.949818,1.008174,1.228890,0.004159,-0.000017,-0.000063,-0.008561,-0.008936,0.025497,-3.092233,-5.118910,5.980397,-0.000068,0.003570,0.002180,0.017298
0.074854,0.337974,0.949755,1.008098,1.228916,0.004159,-0.000084,-0.000181,-0.016193,-0.014563,0.028268,-4.411947,-4.492040,6.296324,0.000026,0.005333,0.001764,0.034949
0.079013,0.337940,0.949747,1.008079,1.228945,0.004159,-0.000051,-0.000181,-0.018588,-0.026270,0.035517,-3.791650,-5.838289,6.961481,0.000029,-0.000265,-0.005598,-0.307944
0.083171,0.337923,0.949709,1.008037,1.228948,0.004159,-0.000101,-0.000110,-0.018730,-0.039692,0.042798,-2.445401,-7.395847,7.789643,0.000003,-0.000759,-0.000495,-0.751961
0.087330,0.337923,0.949603,1.007938,1.228913,0.004159,-0.000051,-0.000152,-0.013309,-0.055304,0.053049,0.693574,-9.796941,9.821461,-0.000035,-0.004924,-0.004165,-1.149289
0.091488,0.337894,0.949494,1.007825,1.228904,0.004159,-0.000046,-0.000253,-0.004663,-0.065459,0.065385,3.348581,-9.423741,10.000994,-0.000009,-0.011722,-0.006798,-1.616575
0.095647,0.337927,0.949351,1.007701,1.228825,0.004159,0.000004,-0.000358,0.009078,-0.078307,0.082891,6.686936,-9.285708,11.442879,-0.000079,-0.017883,-0.006160,-2.079314
0.099805,0.338016,0.949106,1.007501,1.228661,0.004159,0.000093,-0.000497,0.028332,-0.101197,0.107752,10.013364,-11.035831,14.901578,-0.000164,-0.030559,-0.012677,-2.271189
0.103964,0.338050,0.948988,1.007401,1.228590,0.004159,0.000156,-0.000506,0.045518,-0.134760,0.143261,12.066819,-16.664514,20.574599,-0.000071,-0.038994,-0.008435,-2.002023
0.108122,0.338206,0.948706,1.007187,1.228350,0.004159,0.000278,-0.000645,0.061477,-0.177825,0.187177,12.600206,-23.930848,27.045345,-0.000240,-0.047203,-0.008209,-1.706078
0.112281,0.338336,0.948356,1.006901,1.228111,0.004159,0.000320,-0.000750,0.071738,-0.217482,0.227466,10.437688,-27.962778,29.847316,-0.000239,-0.053443,-0.006240,-0.824927
0.116440,0.338442,0.947935,1.006540,1.227872,0.004159,0.000392,-0.001054,0.076911,-0.254241,0.260800,7.549217,-28.731332,29.706567,-0.000239,-0.056177,-0.002734,0.243001
0.120598,0.338522,0.947437,1.006099,1.227631,0.004159,0.000316,-0.001268,0.070909,-0.275741,0.278066,2.268173,-23.545719,23.654714,-0.000241,-0.048837,0.007339,1.397957
0.124757,0.338522,0.947016,1.005702,1.227490,0.004159,0.000185,-0.001340,0.048884,-0.281758,0.285023,-5.495762,-15.456298,16.404285,-0.000141,-0.034898,0.013940,2.641804
0.128915,0.338534,0.946582,1.005297,1.227333,0.004159,0.000093,-0.001353,0.015286,-0.269725,0.280440,-14.818960,-3.723485,15.279592,-0.000157,-0.020746,0.014151,3.449000
0.133074,0.338475,0.946325,1.005035,1.227302,0.004159,-0.000046,-0.001113,-0.027475,-0.244957,0.266780,-23.658190,7.402664,24.789300,-0.000031,-0.000555,0.020191,4.015826
0.137232,0.338269,0.946055,1.004712,1.227405,0.004159,-0.000253,-0.000961,-0.071979,-0.216036,0.251231,-29.063634,15.803937,33.082613,0.000103,0.016434,0.016989,3.982992
0.141391,0.337986,0.945971,1.004537,1.227641,0.004159,-0.000548,-0.000611,-0.119488,-0.192360,0.242722,-32.408807,18.603793,37.368862,0.000236,0.031685,0.015251,3.293593
0.145549,0.337662,0.945714,1.004186,1.227860,0.004159,-0.000813,-0.000611,-0.164920,-0.189802,0.255753,-33.051257,13.263106,35.613137,0.000218,0.042932,0.011247,1.941083
0.149708,0.337384,0.945368,1.003767,1.228005,0.004159,-0.000885,-0.000687,-0.207476,-0.220692,0.299311,-32.582626,-1.119602,32.601856,0.000145,0.046085,0.003153,0.563621
0.153867,0.337009,0.944841,1.003145,1.228180,0.004159,-0.000978,-0.001129,-0.244886,-0.290723,0.376886,-30.154266,-23.653078,38.324246,0.000176,0.043441,-0.002644,-0.684636
0.158025,0.336596,0.944142,1.002347,1.228334,0.004159,-0.001066,-0.001572,-0.271936,-0.401005,0.488179,-25.733799,-50.787657,56.935178,0.000154,0.031486,-0.011955,-1.877290
0.162184,0.336149,0.943194,1.001304,1.228436,0.004159,-0.001235,-0.002175,-0.287038,-0.534737,0.615539,-19.132068,-75.517734,77.903557,0.000102,0.015532,-0.015955,-2.642919
0.166342,0.335719,0.942047,1.000080,1.228456,0.004159,-0.001290,-0.002794,-0.291864,-0.679716,0.747425,-11.296560,-93.540425,94.220080,0.000020,-0.000595,-0.016127,-2.883035
0.170501,0.335319,0.940669,0.998648,1.228371,0.004159,-0.001277,-0.003473,-0.292891,-0.804115,0.858917,-5.039060,-96.935017,97.065904,-0.000086,-0.009265,-0.008670,-2.625573
0.174659,0.334923,0.939182,0.997114,1.228244,0.004159,-0.001226,-0.004012,-0.294521,-0.904377,0.951565,-1.799543,-88.886495,88.904709,-0.000127,-0.016616,-0.007351,-1.844576
0.178818,0.334552,0.937724,0.995616,1.228103,0.004159,-0.001167,-0.004324,-0.294089,-0.968022,1.011524,-0.535091,-69.328399,69.330463,-0.000141,-0.022423,-0.005807,-1.085318
0.182976,0.334172,0.936312,0.994158,1.227985,0.004159,-0.001146,-0.004358,-0.294698,-1.011654,1.052969,-0.434549,-49.906631,49.908523,-0.000118,-0.023430,-0.001008,-0.335459
0.187135,0.333751,0.934925,0.992711,1.227915,0.004159,-0.001172,-0.004256,-0.298220,-1.026480,1.068003,-0.889547,-29.361854,29.375326,-0.000070,-0.018323,0.005107,-0.000158
0.191294,0.333309,0.933690,0.991399,1.227917,0.004159,-0.001243,-0.004033,-0.306313,-1.028308,1.072268,-2.939594,-14.496883,14.791918,0.000002,-0.015485,0.002839,-0.130546
0.195452,0.332866,0.932216,0.989861,1.227837,0.004159,-0.001306,-0.004096,-0.313591,-1.020626,1.067003,-4.543163,-2.157406,5.029387,-0.000080,-0.014102,0.001383,-0.742352
0.199611,0.332398,0.930783,0.988355,1.227795,0.004159,-0.001353,-0.004143,-0.312486,-1.026806,1.073281,-3.430378,-0.078389,3.431273,-0.000042,-0.021775,-0.007673,-1.167945
0.203769,0.331918,0.929249,0.986748,1.227731,0.004159,-0.001391,-0.004442,-0.304627,-1.046343,1.090757,0.405579,-4.336966,4.355889,-0.000064,-0.029944,-0.008169,-1.670715
0.207928,0.331522,0.927812,0.985262,1.227619,0.004159,-0.001344,-0.004404,-0.288937,-1.084271,1.124162,5.928607,-15.304632,16.412804,-0.000112,-0.042357,-0.012413,-1.942247
