Time (sec),X,Y,R,Theta,Delta_Time,Delta_X,Delta_Y,Speed_X,Speed_Y,Speed,Acceleration_X,Acceleration_Y,Acceleration,Delta_Theta,Angular_Velocity,Delta_Omega,Angular_Acceleration
0.000000,0.337529,0.934636,0.993716,1.224237,0.000000,0.000000,0.000000,-0.006189,0.014930,-0.003930,0.000000,0.000000,0.000000,0.000000,,0.000000,
0.004159,0.337483,0.934683,0.993744,1.224296,0.004159,0.000000,0.000000,-0.006049,0.008187,0.001961,0.000000,0.000000,0.000000,0.000060,,0.000000,
0.008317,0.337451,0.934715,0.993763,1.224338,0.004159,0.000000,0.000000,-0.005025,0.002214,0.007619,0.000000,0.000000,0.000000,0.000041,,0.000000,
0.012476,0.337434,0.934732,0.993773,1.224360,0.004159,-0.000096,0.000096,-0.003117,-0.002987,0.013044,0.738680,-4.308552,4.371415,0.000022,,0.000000,
0.016634,0.337431,0.934735,0.993775,1.224364,0.004159,-0.000052,0.000052,-0.000325,-0.007417,0.018236,1.376366,-3.752142,3.996618,0.000004,,0.000000,
0.020793,0.337442,0.934724,0.993768,1.224349,0.004159,-0.000009,0.000009,0.003351,-0.011075,0.023196,2.014052,-3.195732,3.777447,-0.000015,,0.000000,
0.024951,0.337468,0.934698,0.993753,1.224316,0.004159,0.000034,-0.000034,0.007911,-0.013963,0.027923,2.651738,-2.639322,3.741355,-0.000033,,0.000000,
0.029110,0.337544,0.934622,0.993707,1.224218,0.004159,0.000113,-0.000113,0.018036,-0.020176,0.035804,4.415077,-3.068098,5.376442,-0.000098,-0.013018,0.000000,-0.023175
0.033268,0.337557,0.934563,0.993656,1.224186,0.004159,0.000114,-0.000161,0.025831,-0.023896,0.039397,5.405687,-3.082982,6.223041,-0.000032,-0.013276,-0.000258,0.035289
0.037427,0.337599,0.934521,0.993631,1.224132,0.004159,0.000131,-0.000177,0.031913,-0.025160,0.039055,5.771828,-2.692497,6.368951,-0.000054,-0.012512,0.000764,-0.017508
0.041586,0.337708,0.934495,0.993644,1.224019,0.004159,0.000164,-0.000126,0.034786,-0.020627,0.042387,4.028034,-0.108576,4.029498,-0.000112,-0.014187,-0.001676,-0.006452
0.045744,0.337738,0.934533,0.993690,1.224004,0.004159,0.000181,-0.000029,0.037124,-0.011555,0.042181,2.715625,2.967590,4.022587,-0.000015,-0.012385,0.001802,0.083293
0.049903,0.337780,0.934542,0.993712,1.223967,0.004159,0.000181,0.000021,0.040449,-0.004711,0.040494,2.052481,4.917338,5.328498,-0.000037,-0.013317,-0.000932,0.007089
0.054061,0.337780,0.934529,0.993700,1.223963,0.004159,0.000072,0.000034,0.040200,0.000612,0.036485,1.301698,5.107468,5.270735,-0.000004,-0.012131,0.001186,-0.088180
0.058220,0.337868,0.934550,0.993750,1.223887,0.004159,0.000131,0.000017,0.040992,-0.002781,0.038884,0.930202,2.109934,2.305883,-0.000077,-0.014298,-0.002167,-0.128810
0.062378,0.337982,0.934521,0.993761,1.223769,0.004159,0.000202,-0.000021,0.036702,-0.013068,0.044963,-0.900988,-2.009635,2.202366,-0.000118,-0.012777,0.001520,-0.073471
0.066537,0.337974,0.934457,0.993699,1.223755,0.004159,0.000194,-0.000072,0.029424,-0.035596,0.060346,-2.591224,-8.707040,9.084436,-0.000014,-0.012956,-0.000179,-0.075324
0.070695,0.338037,0.934276,0.993550,1.223633,0.004159,0.000169,-0.000274,0.022897,-0.063305,0.079532,-4.351329,-14.554092,15.190644,-0.000122,-0.017611,-0.004655,-0.282769
0.074854,0.338024,0.934179,0.993454,1.223612,0.004159,0.000042,-0.000341,0.019892,-0.086733,0.096741,-4.042154,-17.714247,18.169578,-0.000021,-0.017961,-0.000350,-0.214053
0.079013,0.338029,0.933943,0.993234,1.223527,0.004159,0.000055,-0.000514,0.018617,-0.101460,0.108181,-2.598771,-15.838019,16.049812,-0.000085,-0.016796,0.001165,-0.215535
0.083171,0.337995,0.933733,0.993024,1.223487,0.004159,-0.000042,-0.000544,0.014173,-0.110538,0.112454,-2.097762,-11.357908,11.550008,-0.000040,-0.016521,0.000275,-0.189164
0.087330,0.338054,0.933526,0.992850,1.223360,0.004159,0.000029,-0.000653,0.014676,-0.118078,0.118190,-1.254227,-7.537288,7.640929,-0.000127,-0.021035,-0.004514,-0.286958
0.091488,0.338151,0.933442,0.992804,1.223239,0.004159,0.000122,-0.000501,0.021189,-0.122386,0.124616,0.618593,-5.032243,5.070121,-0.000121,-0.024456,-0.003421,-0.409774
0.095647,0.338176,0.933366,0.992741,1.223190,0.004159,0.000181,-0.000367,0.028006,-0.122564,0.127493,3.326427,-2.891878,4.407729,-0.000050,-0.023053,0.001403,-0.752024
0.099805,0.338214,0.933147,0.992548,1.223078,0.004159,0.000160,-0.000379,0.033605,-0.126504,0.131515,4.551684,-2.026189,4.982296,-0.000111,-0.027701,-0.004649,-1.416637
0.103964,0.338349,0.932873,0.992337,1.222857,0.004159,0.000198,-0.000569,0.041003,-0.137020,0.141947,4.764698,-3.518992,5.923314,-0.000222,-0.035100,-0.007399,-2.164402
0.108122,0.338479,0.932633,0.992155,1.222650,0.004159,0.000303,-0.000733,0.055255,-0.162249,0.168196,6.552312,-9.543029,11.575931,-0.000206,-0.045268,-0.010168,-2.704741
0.112281,0.338505,0.932367,0.991914,1.222535,0.004159,0.000291,-0.000780,0.076961,-0.197958,0.209381,10.425759,-17.182564,20.098183,-0.000115,-0.060628,-0.015360,-3.304309
0.116440,0.338623,0.931980,0.991590,1.222290,0.004159,0.000274,-0.000893,0.106441,-0.243689,0.262889,15.735772,-25.650298,30.092396,-0.000245,-0.078880,-0.018253,-3.967057
0.120598,0.338922,0.931529,0.991269,1.221851,0.004159,0.000442,-0.001104,0.147324,-0.280263,0.316408,22.139826,-28.378581,35.993274,-0.000439,-0.096733,-0.017852,-4.060461
0.124757,0.339305,0.931027,0.990929,1.221314,0.004159,0.000801,-0.001340,0.195351,-0.299765,0.361899,28.468899,-24.481277,37.547452,-0.000537,-0.113002,-0.016269,-3.242041
0.128915,0.339676,0.930526,0.990585,1.220789,0.004159,0.001054,-0.001454,0.241343,-0.300226,0.393187,32.439481,-13.595408,35.173214,-0.000525,-0.122768,-0.009766,-2.060227
0.133074,0.340224,0.930159,0.990428,1.220142,0.004159,0.001302,-0.001370,0.284493,-0.287441,0.415240,32.984797,-1.726266,33.029938,-0.000647,-0.133342,-0.010574,-0.800419
0.137232,0.340667,0.929877,0.990315,1.219625,0.004159,0.001361,-0.001150,0.315072,-0.259974,0.419197,28.789272,9.568590,30.337767,-0.000518,-0.132585,0.000757,0.637482
0.141391,0.341147,0.929729,0.990342,1.219118,0.004159,0.001471,-0.000796,0.324632,-0.215583,0.398024,20.028431,20.353917,28.555560,-0.000507,-0.116538,0.016046,1.545317
0.145549,0.341606,0.929565,0.990346,1.218625,0.004159,0.001382,-0.000594,0.307397,-0.160265,0.351425,5.507691,30.581998,31.073997,-0.000493,-0.097892,0.018646,2.133563
0.149708,0.341893,0.929455,0.990342,1.218316,0.004159,0.001226,-0.000421,0.277386,-0.109793,0.298924,-9.062469,36.113547,37.233273,-0.000310,-0.086671,0.011221,2.224903
0.153867,0.342234,0.929426,0.990432,1.217982,0.004159,0.001087,-0.000303,0.253234,-0.075664,0.260914,-17.168931,33.645992,37.773337,-0.000334,-0.081813,0.004858,1.649916
0.158025,0.342369,0.929417,0.990471,1.217851,0.004159,0.000763,-0.000147,0.235277,-0.064744,0.241026,-17.342750,22.969729,28.781582,-0.000131,-0.077085,0.004728,0.871167
0.162184,0.342563,0.929325,0.990451,1.217635,0.004159,0.000670,-0.000131,0.229933,-0.070328,0.239718,-11.410736,9.490201,14.841456,-0.000216,-0.083549,-0.006464,-0.356111
0.166342,0.342959,0.929164,0.990438,1.217204,0.004159,0.000725,-0.000261,0.228055,-0.085685,0.245327,-6.054711,-2.409615,6.516576,-0.000431,-0.085381,-0.001832,-1.057003
0.170501,0.343423,0.928899,0.990350,1.216672,0.004159,0.001054,-0.000518,0.238381,-0.100574,0.259502,0.746401,-8.615992,8.648261,-0.000532,-0.092063,-0.006683,-0.683238
0.174659,0.343819,0.928684,0.990285,1.216221,0.004159,0.001256,-0.000641,0.247933,-0.116242,0.259674,4.328445,-11.040943,11.859084,-0.000450,-0.098081,-0.006018,0.634834
