Time (sec),X,Y
0.000000,0.338286,0.963429
0.004167,0.338857,0.963429
0.008333,0.339429,0.963429
0.012500,0.339429,0.963429
0.016667,0.340000,0.964000
0.020833,0.341143,0.964000
0.025000,0.341714,0.964000
0.029167,0.342286,0.964000
0.033333,0.343429,0.964000
0.037500,0.345714,0.964000
0.041667,0.347429,0.963429
0.045833,0.349143,0.962857
0.050000,0.351429,0.961714
0.054167,0.353143,0.960000
0.058333,0.356000,0.958286
0.062500,0.357714,0.956571
0.066667,0.360000,0.954286
0.070833,0.361714,0.950857
0.075000,0.364000,0.947429
0.079167,0.366857,0.944571
0.083333,0.368571,0.940000
0.087500,0.368571,0.935429
0.091667,0.369714,0.930286
0.095833,0.370286,0.925143
0.100000,0.369714,0.918857
0.104167,0.369143,0.914286
0.108333,0.369143,0.908571
0.112500,0.368000,0.902286
0.116667,0.364000,0.896571
0.120833,0.360571,0.891429
0.125000,0.356000,0.888571
0.129167,0.352571,0.884000
0.133333,0.348571,0.880571
0.137500,0.344571,0.877714
0.141667,0.340000,0.876000
0.145833,0.336000,0.874286
0.150000,0.332571,0.873714
0.154167,0.328571,0.873143
0.158333,0.325714,0.873714
0.162500,0.322857,0.873714
0.166667,0.321714,0.875429
0.170833,0.321714,0.877143
0.175000,0.321143,0.876571
0.179167,0.322857,0.877143
0.183333,0.324571,0.877143
0.187500,0.326286,0.876000
0.191667,0.329143,0.874857
0.195833,0.333143,0.872000
0.200000,0.337143,0.869143
0.204167,0.340571,0.865143
0.208333,0.343429,0.858857
0.212500,0.346286,0.853143
0.216667,0.347429,0.845143
0.220833,0.349714,0.838286
0.225000,0.329714,0.832000
0.229167,0.329143,0.829714
0.233333,0.340000,0.812000
0.237500,0.336000,0.805143
0.241667,0.329714,0.800000
0.245833,0.324000,0.796571
0.250000,0.317714,0.795429
0.254167,0.312571,0.795429
0.258333,0.308000,0.796000
0.262500,0.306286,0.798286
0.266667,0.304571,0.800000
0.270833,0.305714,0.802286
0.275000,0.308571,0.803429
0.279167,0.313143,0.802857
0.283333,0.318286,0.801143
0.287500,0.323429,0.796571
0.291667,0.328000,0.790286
0.295833,0.332000,0.782286
0.300000,0.336000,0.773714
0.304167,0.336000,0.760571
0.308333,0.333143,0.750286
0.312500,0.329714,0.740571
0.316667,0.324000,0.732571
0.320833,0.317143,0.726286
0.325000,0.309714,0.723429
0.329167,0.302857,0.722286
0.333333,0.297143,0.724571
0.337500,0.294286,0.728571
0.341667,0.294286,0.732000
0.345833,0.296000,0.734857
