Time (sec),X,Y
0.000000,0.375000,1.009800
0.004167,0.375000,1.008600
0.008333,0.375000,1.007400
0.012500,0.375000,1.006800
0.016667,0.375000,1.005600
0.020833,0.375000,1.003800
0.025000,0.375600,1.002600
0.029167,0.375000,1.001400
0.033333,0.374400,0.999600
0.037500,0.373800,0.997800
0.041667,0.374400,0.996600
0.045833,0.374400,0.994200
0.050000,0.375000,0.992400
0.054167,0.374400,0.990600
0.058333,0.374400,0.988800
0.062500,0.374400,0.986400
0.066667,0.373800,0.985200
0.070833,0.373200,0.982800
0.075000,0.372600,0.980400
0.079167,0.372600,0.977400
0.083333,0.372600,0.975600
0.087500,0.372000,0.973200
0.091667,0.370800,0.969600
0.095833,0.371400,0.967800
0.100000,0.370800,0.964800
0.104167,0.370200,0.963000
0.108333,0.369000,0.960600
0.112500,0.367800,0.957600
0.116667,0.367200,0.955200
0.120833,0.365400,0.953400
0.125000,0.364800,0.951000
0.129167,0.364200,0.948600
0.133333,0.364200,0.946800
0.137500,0.363000,0.944400
0.141667,0.362400,0.942000
0.145833,0.361800,0.939600
0.150000,0.361200,0.936600
0.154167,0.360600,0.934800
0.158333,0.360600,0.930600
0.162500,0.360000,0.927600
0.166667,0.359400,0.924600
0.170833,0.358200,0.921000
0.175000,0.357600,0.917400
0.179167,0.356400,0.913200
0.183333,0.354600,0.910200
0.187500,0.353400,0.905400
0.191667,0.352800,0.901200
0.195833,0.352200,0.897000
0.200000,0.351600,0.894600
0.204167,0.349800,0.891000
0.208333,0.349800,0.888000
0.212500,0.348600,0.885600
0.216667,0.348600,0.882600
0.220833,0.347400,0.879600
0.225000,0.348000,0.876000
0.229167,0.347400,0.873000
0.233333,0.346800,0.870000
0.237500,0.346200,0.865800
0.241667,0.346200,0.862200
0.245833,0.345000,0.858600
0.250000,0.345000,0.855000
0.254167,0.343200,0.851400
0.258333,0.342600,0.847200
0.262500,0.340800,0.843000
0.266667,0.340200,0.840000
0.270833,0.339000,0.837000
0.275000,0.338400,0.832200
0.279167,0.337800,0.828000
0.283333,0.337200,0.823800
0.287500,0.336000,0.819600
0.291667,0.335400,0.814800
0.295833,0.334800,0.810000
0.300000,0.333600,0.804600
0.304167,0.333600,0.799200
0.308333,0.331800,0.795000
0.312500,0.331800,0.790800
0.316667,0.330600,0.787200
0.320833,0.330600,0.784200
0.325000,0.330600,0.781200
0.329167,0.330000,0.778200
